zenith,angle_of_incidence,shortwave_radiation_backwards_sfc,total_cloud_cover_sfc,relative_humidity_2_m_above_gnd,low_cloud_cover_low_cld_lay,medium_cloud_cover_mid_cld_lay,temperature_2_m_above_gnd,total_precipitation_sfc,high_cloud_cover_high_cld_lay,generated_power_kw
32.107302,41.858643,904.24,0,15,0,0,33.14,0,0,1779.1206
28.262096,22.230292,823.25,0,38,0,0,13.21,0,0,2879.6863
20.544867,30.605594,847.28,0,30,0,0,25.65,0,0,2529.0295
76.049743,90.353918,361.34,0,25,0,0,29.17,0,0,0.50791667
59.25298,58.604367,297.26,100,33,0,100,12.2,0,16,552.3861
31.189349,24.630929,677.29,58,39,58,0,24.55,0,0,2050.5335
58.316592,64.1311,666.61,0,16,0,0,29.2,0,0,672.71056
49.61518,44.073411,446.78,100,61,10,100,11.74,0,100,1690.9292
69.439516,74.027959,137.95,17,73,17,0,11.89,0,0,980.55528
45.912688,33.338144,777.86,0,25,0,0,19.15,0,0,1991.6871
77.852772,54.074167,45.39,86,91,0,86,8.58,0,90,1559.9368
29.262622,38.855885,735.14,0,18,0,0,32.26,0,0,2331.5569
52.579236,10.313914,588.29,30,37,0,0,20.46,0,100,904.55361
32.283534,41.133943,863.3,30,11,0,0,34.42,0,100,1801.0644
22.38667,29.431577,842.83,0,15,0,0,32.85,0,0,2396.7181
82.505772,57.247354,4.45,100,45,100,66,7.91,0,34,1016.81
23.53772,31.088843,925.6,0,20,0,0,31.74,0,0,2159.4056
65.811848,58.863079,138.84,100,92,100,100,3.1,0,0,516.37833
32.70639,19.308774,749.38,0,25,0,0,26.93,0,0,2555.2162
54.29666,66.289912,709.33,3.3,17,0,0,28,0,11,579.16174
41.247998,49.948342,586.51,0,24,0,0,29.39,0,0,2064.272
32.326374,33.977531,716.45,4.2,39,0,0,21.55,0,14,2560.193
41.779624,28.781443,591.85,10,48,10,10,20.85,0,14,2126.076
47.23177,34.894713,755.61,0,20,0,0,26.73,0,0,1943.1916
26.705447,30.418182,894.45,1.5,26,0,0,25.77,0,5,1565.441
75.619568,91.414444,378.25,0,24,0,0,30.21,0,0,1.8195652
26.410413,28.152281,833.04,10,33,10,10,27.55,0,0,1596.1809
61.711725,17.105247,392.49,12,57,0,12,2.77,0,0,1463.1401
52.109667,60.052088,426.31,4,67,4,0,11.49,0,0,1943.9706
82.433235,74.595199,0,0,19,0,0,-0.21,0,0,293.74976
52.353471,62.897066,411.18,0,32,0,0,26.59,0,0,1651.1381
95.792497,100.35751,0,6,84,6,0,13.24,0.2,0,32.832738
61.821958,75.345752,116.59,100,72,0,100,10.98,0,100,929.60186
82.238358,67.549104,0.89,100,82,100,0,8.53,0.1,0,213.59472
64.275047,19.803099,421.86,44,51,4,44,14.01,0,13,141.09667
74.755694,59.983288,0,100,91,100,0,-1.29,0,0,687.91423
96.843037,116.04066,0,0,46,0,0,17.9,0,0,10.751282
51.947276,62.93543,417.41,0,44,0,0,25.14,0,0,1688.3303
83.68181,103.18397,0,0,88,0,0,12.24,0,0,109.69019
61.995004,74.740376,255.43,0,42,0,0,20.07,0,0,839.23455
61.71318,31.698771,114.81,100,81,100,100,2.79,0,0,1653.5456
67.848295,78.470234,485.05,10,32,10,10,27.16,0,0,3.3902778
67.073225,73.146474,174.44,100,85,100,0,4.87,0,0,814.73167
32.126083,41.982811,875.76,10.2,22,0,0,29.85,0,34,1840.8893
50.2779,15.148517,614.1,30,51,0,0,14.9,0,100,1377.0492
62.608974,38.376707,301.71,0,48,0,0,8.49,0,0,2406.3933
84.303094,86.263878,0,100,82,10,100,11.86,0,100,457.55058
50.933398,62.718282,428.98,0,51,0,0,22.99,0,0,1710.0547
80.916614,74.414855,0,1.2,71,0,0,4.4,0,4,295.74341
55.10225,16.647204,550.91,100,79,100,0,7.29,0.1,0,1730.8477
86.570528,88.368477,0,0,90,0,0,5.35,0,0,414.80171
67.875998,34.00882,469.92,10,63,10,0,2.72,0,0,202.27496
31.172795,34.900782,747.6,0,44,0,0,13.86,0,0,2703.1475
68.6238,64.472708,430.76,100,46,1,100,19.79,0,34,96.620556
28.324802,26.604662,878.43,42,22,0,42,30.8,0,0,2184.9475
61.802309,56.885781,269.67,0.9,43,0,0,18.13,0,3,1919.0881
35.947187,16.169954,671.95,10,37,10,10,22.02,0,21,2252.7467
33.119551,42.382053,806.34,10,17,0,10,28.5,0,4,750.41111
52.579297,43.903697,455.68,0.9,26,0,0,13.12,0,3,2486.0261
60.035082,58.172562,299.93,4.5,69,0,0,19.41,0,15,1143.7022
76.817213,48.693732,425.42,0,31,0,0,12.66,0,0,1040.8729
51.740729,60.276166,445,33,60,0,33,6.28,0,42,1894.0586
89.0876,83.247212,0,6,96,6,0,7.86,0,0,471.43086
98.188311,80.268085,0,2.7,72,0,0,4.63,0,9,13.282292
69.039734,73.112032,111.25,100,82,100,0,3.41,0,0,453.2504
64.918289,63.147037,514.42,86,47,10,86,16.8,0,100,519.10854
68.305665,74.748807,151.3,0,74,0,0,15.31,0,0,1159.1381
57.876508,67.069541,676.4,0,31,0,0,23.62,0,0,502.9525
48.967541,44.19142,473.48,0,40,0,0,24.68,0,0,2219.8267
76.655992,92.235315,355.11,0,22,0,0,24.78,0,0,0.052702703
71.007729,40.94317,184.23,0,75,0,0,1.91,0,0,2317.0292
30.027007,22.002757,763.62,0.6,38,0,0,24.31,0,2,2556.4758
76.573783,60.366572,0,100,95,100,0,-2.92,0,0,81.04899
73.289106,88.298754,82.77,0,73,0,0,10.47,0,0,533.53995
58.526906,24.57666,410.29,100,64,0,100,15.16,0,15,2577.9178
35.937684,40.924282,890,0,32,0,0,23.48,0,0,1919.8441
51.891405,50.089699,451.23,100,47,100,29,15.89,0,34,177.06391
67.293871,38.417116,496.62,0,19,0,0,21.31,0,0,523.50056
51.34329,29.405678,145.96,100,82,100,100,5.08,0,0,327.36518
17.731616,28.170552,849.95,10,36,10,10,24.6,0,0,2205.045
72.564164,46.343532,8.9,100,94,100,12,0.4,0,68,128.55614
61.868016,74.985293,224.28,100,31,0,100,19.14,0,0,1195.5467
67.231366,39.195158,239.41,0,69,0,0,12.59,0,0,2405.3071
73.878297,46.68524,311.5,100,78,100,0,2.28,0,0,120.28781
67.987322,81.052523,539.34,0,37,0,0,18.73,0,0,21.669718
55.370038,12.96187,333.75,51,78,51,0,12.87,0.3,100,995.92444
47.331054,45.542369,500.18,0,41,0,0,24.78,0,0,2252.2699
40.52276,50.152974,582.06,8.4,25,0,0,29.24,0,28,2044.5083
38.790023,8.7310809,758.28,43,45,43,0,14.73,0,0,1259.6425
54.672267,65.57401,700.43,0,14,0,0,34.61,0,0,570.99918
50.750149,61.201614,437.88,17,48,0,17,19.97,0,0,1822.0289
54.643658,29.937049,713.78,0,48,0,0,9.81,0,0,2746.2333
68.95622,44.880709,573.16,0,54,0,0,4.9,0,0,2012.8759
73.353681,88.252832,80.99,2,88,2,0,10.56,0,0,554.85196
63.72793,38.449522,167.32,100,82,100,100,12.6,0.1,0,910.30795
85.133381,92.2177,247.42,0,43,0,0,16.32,0,0,51.609477
58.253213,23.737394,567.82,1.5,51,0,0,17.93,0,5,1034.8822
47.064488,15.322585,713.78,0,25,0,0,18.29,0,0,2766.9008
84.962307,101.81993,0,100,94,100,0,0.27,0,0,122.06195
68.547439,33.020593,113.92,44,45,0,44,3.32,0,0,2212.9796
91.625548,70.735927,0,10,43,6,10,7.53,0,24,100.22778
42.334395,20.427095,714.67,100,44,100,0,15.33,0,0,1372.3356
53.607631,43.90359,426.31,0,36,0,0,15.7,0,0,2460.5933
83.19827,59.194427,0,0,45,0,0,0.62,0,0,445.47816
64.842425,44.561741,292.81,100,57,100,0,5.79,0,0,323.25818
75.14996,45.224903,114.81,0.9,61,0,0,4.52,0,3,2127.7597
64.565308,44.578585,531.33,72,61,72,0,8.44,0,0,2154.2716
57.114749,44.085304,187.79,0,63,0,0,6.61,0,0,784.0065
63.080011,76.336269,240.3,0,38,0,0,23.45,0,0,1072.3156
89.074325,103.84199,0,3,96,3,0,10.56,0,0,40.020278
51.121822,62.812554,428.98,0,29,0,0,28.01,0,0,1661.2383
24.650689,27.38469,802.78,0,33,0,0,28.39,0,0,2558.2554
83.43074,102.64564,0,100,83,0,100,8.69,0,100,158.78472
60.418821,20.432759,135.28,100,57,100,0,7.08,0,4,1754.4959
86.598332,84.642584,0,38,39,0,38,12.08,0,32,342.57167
29.490091,38.82898,740.48,0,22,0,0,25.61,0,0,2366.9575
49.565948,9.5491853,607.87,0,43,0,0,11.15,0,0,2847.8031
32.396731,19.616799,755.61,0,27,0,0,26.03,0,0,2537.5319
76.982816,91.72179,352.44,0,37,0,0,14.56,0,0,0.011458333
66.455283,26.632548,439.66,7.8,37,0,0,15.33,0,26,1205.7636
70.172966,46.087246,18.69,100,92,100,0,-3.84,0.3,2,65.507917
49.115285,49.839768,389.82,10,36,10,0,25.31,0,0,950.4599
22.982242,22.79008,885.55,0,34,0,0,23.8,0,0,2582.7331
85.125796,73.759823,329.3,17,50,17,0,6.34,0,0,56.482041
52.722311,11.11799,548.24,27.6,42,0,0,19.11,0,92,1602.4248
41.479142,49.853749,564.26,7.8,23,0,0,31.55,0.2,26,1875.5047
66.275133,45.447681,52.51,100,91,100,0,1.54,0,10,776.38526
69.482147,38.796926,314.17,100,48,100,0,7.46,0,0,197.96722
93.61709,117.06132,0,0,39,0,0,18.75,0,0,9.7655556
64.240858,76.365697,185.12,0,34,0,0,24.56,0,0,1112.5712
